Designator,Mid X,Mid Y,Rotation,Layer
C101,73.94,-46.22,0.0,top
C102,32.8,-37.6,90.0,top
C103,32.8,-52.9,90.0,top
C104,33.0,-68.1,90.0,top
C105,31.02,-86.4,180.0,top
C106,46.2,-86.4,180.0,top
C107,61.5,-86.3,180.0,top
C108,76.7,-86.3,180.0,top
C109,91.9,-86.3,180.0,top
C110,101.2,-79.2,270.0,top
C111,101.3,-64.0,270.0,top
C112,101.3,-48.7,270.0,top
C113,22.8,-64.0,270.0,top
C114,22.8,-79.2,270.0,top
C115,42.1,-99.1,0.0,top
C116,57.3,-99.0,0.0,top
C117,72.5,-99.1,0.0,top
C118,87.8,-99.1,0.0,top
C119,103.0,-99.1,0.0,top
C120,111.7,-68.1,90.0,top
C121,111.7,-52.78,90.0,top
C201,46.0,-57.92,180.0,top
C202,46.4,-62.22,180.0,top
C203,51.6,-66.6,270.0,top
C204,52.0,-55.6,90.0,top
C205,57.0,-57.5,0.0,top
C206,57.0,-58.5,0.0,top
C207,51.0,-55.6,90.0,top
C208,52.6,-66.6,270.0,top
C209,55.3,-55.0,90.0,top
C210,47.921,-69.147,90.0,top
C211,42.321,-69.247,270.0,top
C212,52.081,-45.04,180.0,top
C301,79.0775,-49.4375,180.0,top
C302,79.4775,-53.7375,180.0,top
C303,84.8,-58.1,270.0,top
C304,84.2,-47.1,90.0,top
C305,90.0975,-49.1,0.0,top
C306,90.0775,-50.1,0.0,top
C307,85.2,-47.1,90.0,top
C308,85.8,-58.1,270.0,top
C309,88.5,-46.6,90.0,top
C310,71.6,-56.02,90.0,top
C311,66.0,-56.0,270.0,top
C312,88.44,-34.42,180.0,top
J201,55.338,-37.7025,180.0,top
J301,112.0975,-43.198,90.0,top
R201,53.0,-55.6,270.0,top
R202,54.0,-55.6,270.0,top
R203,57.738,-41.9772,0.0,top
R204,52.638,-41.9772,180.0,top
R205,41.121,-69.247,90.0,top
R206,43.781,-45.74,0.0,top
R207,43.781,-46.74,0.0,top
R301,86.2,-47.1,270.0,top
R302,87.2,-47.1,270.0,top
R303,107.94,-45.6,270.0,top
R304,107.84,-40.6,90.0,top
R305,64.9,-56.0,90.0,top
R306,79.555,-35.62,0.0,top
R307,79.53,-36.62,0.0,top
SW101,68.44,-50.62,0.0,top
SW201,41.14,-48.92,90.0,top
SW301,76.84,-38.82,90.0,top
U101,68.44,-43.02,270.0,top
U102,27.7,-73.6,180.0,top
U103,106.6,-58.4,0.0,top
U104,54.5,-74.825,0.0,top
U105,52.1,-93.4,270.0,top
U106,66.5,-74.825,0.0,top
U107,79.3,-93.5,270.0,top
U108,78.5,-74.825,0.0,top
U109,106.7,-74.2,0.0,top
U110,90.5,-74.825,0.0,top
U201,51.762,-61.22,0.0,top
U202,49.681,-48.64,0.0,top
U301,84.8,-52.8,0.0,top
U302,85.34,-38.12,0.0,top
Y201,45.1,-69.2,180.0,top
Y301,68.8,-56.0,180.0,top
